,Ward/VillageTract,tot_pop,male_pop,female_pop,Township,Longitude,Latitude
5304,WeaDaunt(VT),4063.0,1953.0,2110.0,Mawlamyinegyun Township,95.37978973388672,16.5147922515869
5305,SitSaLiHtone(VT),2730.0,1342.0,1388.0,Mawlamyinegyun Township,95.4325408935547,16.531300067901626
5306,ThaKhutKoneWarYonDaunt(VT),2371.0,1126.0,1245.0,Mawlamyinegyun Township,95.45749409993489,16.521620432535837
5307,ThitToSeik(VT),3936.0,1923.0,2013.0,Mawlamyinegyun Township,95.4295285542806,16.4818499883016
5308,HpaYarDaunt(VT),2018.0,1030.0,988.0,Mawlamyinegyun Township,95.46415710449219,16.48903465270995
5309,WarRakhine(VT),1181.0,583.0,598.0,Mawlamyinegyun Township,95.46385002136232,16.462497711181648
5310,KyweDaLin(VT),1756.0,861.0,895.0,Mawlamyinegyun Township,95.47105712890624,16.44586791992186
5311,HteinKuLar(VT),1242.0,609.0,633.0,Mawlamyinegyun Township,95.5168609619141,16.4719009399414
5312,KyawZan(VT),5251.0,2612.0,2639.0,Mawlamyinegyun Township,95.49280293782552,16.433943112691235
5313,DaLinHleSeik(VT),2369.0,1156.0,1213.0,Mawlamyinegyun Township,95.46848551432292,16.41332848866782
5314,GaYan(VT),1671.0,819.0,852.0,Mawlamyinegyun Township,95.45073318481445,16.4322547912598
5315,SeePwarChaung(VT),1199.0,582.0,617.0,Mawlamyinegyun Township,95.43897755940753,16.439090092976897
5316,MaYeOhnPinSu(VT),1717.0,840.0,877.0,Mawlamyinegyun Township,95.42799886067706,16.4487330118815
5317,KyaikPi(VT),3341.0,1641.0,1700.0,Mawlamyinegyun Township,95.40659077962239,16.445378621419266
5318,SaKhanGyi(VT),1912.0,933.0,979.0,Mawlamyinegyun Township,95.37859649658202,16.473387908935543
5319,NyaungdonSu(VT),2482.0,1205.0,1277.0,Mawlamyinegyun Township,95.39036996023995,16.45813424246653
5320,HtiParLelThaungTan(VT),1926.0,941.0,985.0,Mawlamyinegyun Township,95.38378524780275,16.445475578308148
5321,MeiTaLaing(VT),1319.0,604.0,715.0,Mawlamyinegyun Township,95.3827590942383,16.4323692321777
5322,BaMaw(VT),1343.0,627.0,716.0,Mawlamyinegyun Township,95.3909378051758,16.3969993591309
5323,PuLunSar(VT),1869.0,893.0,976.0,Mawlamyinegyun Township,,
5324,PyarMutShawChaung(VT),3290.0,1542.0,1748.0,Mawlamyinegyun Township,95.36625925699872,16.352674272325302
5325,HpoeTharAyeAhSu(VT),1175.0,562.0,613.0,Mawlamyinegyun Township,95.35239410400395,16.327493667602564
5326,DaNoneSeik(VT),2535.0,1242.0,1293.0,Mawlamyinegyun Township,95.3809051513672,16.3754749298096
5327,MaYan(VT),3334.0,1650.0,1684.0,Mawlamyinegyun Township,95.40880393981935,16.393419742584225
5328,LaPutKweTeChaung(VT),2127.0,1039.0,1088.0,Mawlamyinegyun Township,95.19721832275393,16.34954795837402
5329,HpyarLeik(VT),2138.0,1040.0,1098.0,Mawlamyinegyun Township,95.12489929199221,16.27852973937988
5330,MyitGyiBoe(VT),3290.0,1571.0,1719.0,Mawlamyinegyun Township,95.11736212836371,16.243271297878685
5331,KaZaung(VT),3851.0,1924.0,1927.0,Mawlamyinegyun Township,95.09959411621092,16.221953392028833
5332,PetPye(VT),2334.0,1201.0,1133.0,Mawlamyinegyun Township,95.0871536254883,16.20911216735838
5333,AhLelYaeKyaw(VT),10245.0,5162.0,5083.0,Mawlamyinegyun Township,95.05929311116535,16.180903540717235
5334,YaeTwinKone(VT),8232.0,4326.0,3906.0,Mawlamyinegyun Township,95.05186904069014,16.087299718098958
5335,HlaingBone(VT),8688.0,4475.0,4213.0,Labutta Township,94.66825103759767,16.2658831278483
5336,HlaingBone(VT),8688.0,4475.0,4213.0,Mawlamyinegyun Township,95.0806810813904,16.12390504692077
5337,HlaingBone(VT),3219.0,1622.0,1597.0,Labutta Township,94.66825103759767,16.2658831278483
5338,HlaingBone(VT),3219.0,1622.0,1597.0,Mawlamyinegyun Township,95.0806810813904,16.12390504692077
5339,KyaukHmaw(VT),5880.0,2888.0,2992.0,Labutta Township,94.76804351806636,16.198455174763982
5340,NyaungLein(VT),3801.0,1872.0,1929.0,Labutta Township,94.73932647705077,16.15837001800538
5341,LaPutTaLoke(North)(VT),2712.0,1385.0,1327.0,Labutta Township,94.69210902282715,16.184400349731447
5342,LaPutTaLoke(South)(VT),3015.0,1468.0,1547.0,Labutta Township,94.69923655192059,16.1659933725993
5343,SarKyin(VT),5540.0,2722.0,2818.0,Labutta Township,94.70598449707032,16.11989822387694
5344,KaNyinKone(VT),3354.0,1719.0,1635.0,Labutta Township,94.81649424235027,16.11879895528158
5345,AhMat(VT),3456.0,1743.0,1713.0,Labutta Township,94.7899284362793,16.154915094375614
5346,ThaNatHpet(VT),2355.0,1180.0,1175.0,Labutta Township,94.83188374837238,16.17584133148195
5347,HtinPonKwin(VT),4934.0,2488.0,2446.0,Labutta Township,94.8853225708008,16.22102383204869
5348,KanBet(VT),8049.0,4086.0,3963.0,Labutta Township,94.92904118129185,16.233252116612015
5349,KyeinKwin(VT),4434.0,2207.0,2227.0,Labutta Township,94.91457080841066,16.285892724990838
5350,KyeinKoneGyi(VT),2876.0,1405.0,1471.0,Labutta Township,94.94629669189453,16.31769688924153
5351,BayPauk(VT),3912.0,1945.0,1967.0,Labutta Township,94.97672129063197,16.297174844360356
5352,NyaungLan(VT),1761.0,906.0,855.0,Labutta Township,94.98892784118652,16.36906957626345
5353,BoePyayt(VT),3723.0,1825.0,1898.0,Labutta Township,95.0081765311105,16.343345642089844
5354,KyuTaw(VT),4307.0,2131.0,2176.0,Labutta Township,95.00512485839842,16.29633248405456
5355,BiTut(VT),7978.0,4001.0,3977.0,Labutta Township,94.88019307454428,16.13868217468261
5356,MaungNge(VT),5448.0,2777.0,2671.0,Labutta Township,94.92501296997071,16.1604959487915
5357,MyitPauk(VT),8379.0,4407.0,3972.0,Labutta Township,94.8962634733699,16.064087258864188
