pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,light_total,electricity,kerosene,candle,lbattery,generator,water,solar,other
MMR013,Yangon,MMR013D004,Yangon (West),MMR013037,Ahlone,10943,10834,13,21,64,,,3,8
MMR013,Yangon,MMR013D004,Yangon (West),MMR013038,Kyeemyindaing,23062,19669,24,750,2514,84,,7,14
MMR013,Yangon,MMR013D004,Yangon (West),MMR013039,Sanchaung,20635,20589,21,8,9,1,,,7
MMR013,Yangon,MMR013D004,Yangon (West),MMR013040,Hlaing,32837,32476,27,144,157,,,8,25
MMR013,Yangon,MMR013D004,Yangon (West),MMR013041,Kamaryut,16299,16258,12,7,7,10,,,5
MMR013,Yangon,MMR013D004,Yangon (West),MMR013042,Mayangone,38807,38047,22,420,264,14,,3,37
MMR013,Yangon,MMR013D004,Yangon (West),MMR013043,Dagon,4608,4588,2,6,9,1,,,2
MMR013,Yangon,MMR013D004,Yangon (West),MMR013044,Bahan,17426,17342,11,48,13,2,1,,9
MMR013,Yangon,MMR013D004,Yangon (West),MMR013045,Seikkan,410,403,,4,1,,,,2
MMR222,Shan,MMR014D001,Taunggyi,MMR014001,Taunggyi,94869,56687,644,8405,3458,1295,3234,20728,418
MMR222,Shan,MMR014D001,Taunggyi,MMR014002,Nyaungshwe,42634,15990,2411,2332,6429,903,1383,12787,399
MMR222,Shan,MMR014D001,Taunggyi,MMR014003,Hopong,24728,3786,699,4498,1322,157,3177,10826,263
MMR222,Shan,MMR014D001,Taunggyi,MMR014004,Hsihseng,32771,1285,444,4630,2821,1257,3533,18548,253
MMR222,Shan,MMR014D001,Taunggyi,MMR014005,Kalaw,41341,18515,523,8729,1647,1378,1020,9306,223
MMR222,Shan,MMR014D001,Taunggyi,MMR014006,Pindaya,17544,5268,247,3208,1003,58,1282,6241,237
MMR222,Shan,MMR014D001,Taunggyi,MMR014007,Ywangan,18348,1296,1643,5758,2002,373,1724,4633,919
MMR222,Shan,MMR014D001,Taunggyi,MMR014008,Lawksawk,34107,8738,632,8599,2550,348,1230,11697,313
MMR222,Shan,MMR014D001,Taunggyi,MMR014009,Pinlaung,42083,13165,2069,9082,851,358,2205,13855,498
MMR222,Shan,MMR014D001,Taunggyi,MMR014010,Pekon,20084,6724,161,4457,461,199,438,7379,265
MMR222,Shan,MMR014D002,Loilen,MMR014011,Loilen,25417,9161,359,5623,159,74,2918,6977,146
MMR222,Shan,MMR014D002,Loilen,MMR014012,Laihka,8790,2629,87,2440,56,80,1087,2293,118
MMR222,Shan,MMR014D002,Loilen,MMR014013,Nansang,23227,8087,614,5864,372,370,648,7161,111
MMR222,Shan,MMR014D002,Loilen,MMR014014,Kunhing,11137,916,219,2859,60,482,4013,2424,164
MMR222,Shan,MMR014D002,Loilen,MMR014015,Kyethi,14712,1193,1012,4499,299,254,2363,4939,153
MMR222,Shan,MMR014D002,Loilen,MMR014016,Mongkaing,16332,2037,549,5495,434,171,1317,4873,1456
MMR222,Shan,MMR014D002,Loilen,MMR014017,Monghsu,15867,470,475,4213,699,521,1816,7521,152
MMR222,Shan,MMR014D003,Langkho,MMR014018,Langkho,9548,4558,57,3017,182,94,147,1464,29
MMR222,Shan,MMR014D003,Langkho,MMR014019,Mongnai,8485,4517,250,2348,65,98,114,1071,22
MMR222,Shan,MMR014D003,Langkho,MMR014020,Mawkmai,7194,1226,82,1745,137,99,1013,2832,60
MMR222,Shan,MMR014D003,Langkho,MMR014021,Mongpan,5421,2464,53,1965,78,125,45,673,18
MMR222,Shan,MMR015D001,Lashio,MMR015001,Lashio,64932,34468,1501,8572,1822,447,1991,15548,583
MMR222,Shan,MMR015D001,Lashio,MMR015002,Hseni,11779,2666,272,1547,257,276,776,5809,176
MMR222,Shan,MMR015D001,Lashio,MMR015003,Mongyai,13328,896,1211,3345,857,134,757,5642,486
MMR222,Shan,MMR015D001,Lashio,MMR015004,Tangyan,35142,795,1501,8303,1360,793,2734,18414,1242
MMR222,Shan,MMR015D002,Muse,MMR015009,Muse,32758,24589,1786,409,49,147,5437,314,27
MMR222,Shan,MMR015D002,Muse,MMR015010,Namhkan,21417,10540,2114,1338,85,347,5680,797,516
MMR222,Shan,MMR015D002,Muse,MMR015011,Kutkai,32080,8490,6131,3125,691,97,3737,9484,325
MMR222,Shan,MMR015D003,Kyaukme,MMR015012,Kyaukme,38256,12481,945,5824,2146,718,4303,10424,1415
MMR222,Shan,MMR015D003,Kyaukme,MMR015013,Nawnghkio,32224,7565,382,7629,1885,548,1075,12854,286
MMR222,Shan,MMR015D003,Kyaukme,MMR015014,Hsipaw,37906,9097,650,5503,1499,468,3001,16429,1259
MMR222,Shan,MMR015D003,Kyaukme,MMR015015,Namtu,11641,5092,93,1019,443,12,1139,3346,497
MMR222,Shan,MMR015D003,Kyaukme,MMR015016,Namhsan,13685,2593,206,1869,308,91,5736,2270,612
MMR222,Shan,MMR015D003,Kyaukme,MMR015017,Mongmit,13652,744,55,3084,924,2137,955,5475,278
MMR222,Shan,MMR015D003,Kyaukme,MMR015018,Mabein,8632,302,28,1753,1433,1229,6,3866,15
MMR222,Shan,MMR015D003,Kyaukme,MMR015019,Manton,7683,836,1124,1704,401,23,992,1600,1003
MMR222,Shan,MMR015D004,Kunlong,MMR015020,Kunlong,10392,449,299,986,357,137,3684,4185,295
MMR222,Shan,MMR015D005,Laukkaing,MMR015022,Laukkaing,15181,13591,157,623,39,46,82,616,27
MMR222,Shan,MMR015D005,Laukkaing,MMR015023,Konkyan,9665,1517,1267,2356,159,100,2597,1298,371
MMR222,Shan,MMR015D006,Hopang,MMR015021,Hopang,11216,6037,367,1123,273,16,432,2922,46
MMR222,Shan,MMR015D006,Hopang,MMR015008,Mongmao,10445,5675,282,512,163,17,49,3644,103
MMR222,Shan,MMR015D006,Hopang,MMR015007,Pangwaun,13969,4182,1621,1328,161,56,536,5137,948
MMR222,Shan,MMR015D007,Matman,MMR015024,Matman,3318,383,13,674,227,28,270,673,1050
MMR222,Shan,MMR015D007,Matman,MMR015005,Pangsang,16457,7928,276,1912,508,55,837,3003,1938
MMR222,Shan,MMR015D007,Matman,MMR015006,Narphan,16474,3506,1037,2452,341,27,253,7525,1333
MMR222,Shan,MMR016D001,Kengtung,MMR016001,Kengtung,34096,10532,2051,9054,338,1859,6497,2048,1717
MMR222,Shan,MMR016D001,Kengtung,MMR016002,Mongkhet,8025,810,95,2658,11,273,1545,882,1751
MMR222,Shan,MMR016D001,Kengtung,MMR016003,Mongyang,19404,5772,831,2862,58,433,5937,1288,2223
MMR222,Shan,MMR016D001,Kengtung,MMR016005,Mongla,5208,3124,275,885,22,47,636,143,76
MMR222,Shan,MMR016D002,Monghsat,MMR016006,Monghsat,19111,7005,1855,3945,132,408,4053,372,1341
MMR222,Shan,MMR016D002,Monghsat,MMR016007,Mongping,13299,1165,56,3946,260,82,4405,976,2409
MMR222,Shan,MMR016D002,Monghsat,MMR016008,Mongton,12521,1163,2699,4869,61,1346,1224,428,731
MMR222,Shan,MMR016D003,Tachileik,MMR016009,Tachileik,37673,22567,1060,5021,1324,1379,4603,1327,392
MMR222,Shan,MMR016D004,Monghpyak,MMR016010,Monghpyak,6165,849,406,1151,128,667,1861,1024,79
MMR222,Shan,MMR016D004,Monghpyak,MMR016011,Mongyawng,17196,4460,555,1595,274,212,6529,3365,206
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,42966,2798,20408,6520,10549,1017,15,1566,93
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,41402,3025,20327,5365,9078,1278,16,2218,95
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,59488,5710,22624,8723,17836,2112,21,2310,152
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,76652,4910,16634,12816,27395,10114,59,4036,688
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,85687,32064,14919,11177,15616,8911,209,2553,238
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,50715,6970,15738,5785,17624,839,6,3352,401
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017003,Thabaung,37237,2197,18006,3169,10281,1473,24,1998,89
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,43748,3857,18605,2852,14622,1615,19,2049,129
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,48610,3105,11448,5699,20789,2852,85,4322,310
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,69416,10507,12623,10452,27282,4041,39,3774,698
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,75987,6358,14959,13468,30585,4968,42,4918,689
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,51201,4296,20797,5697,15069,3313,47,1815,167
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,44797,4167,18066,4731,14136,1696,12,1869,120
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,60277,3443,33740,5772,10480,4513,116,2140,73
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017019,Maubin,71804,8957,34617,5822,17065,2515,30,2728,70
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017014,Myaungmya,66172,10318,23970,6539,21016,2481,35,1536,277
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,67448,6075,33824,8446,12339,4688,32,1837,207
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,46455,3269,19761,6105,14008,1877,86,1166,183
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017018,Mawlamyinegyun,74886,3761,20760,11981,29677,5078,87,3026,516
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,75583,6450,26778,9686,22624,6412,51,3056,526
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,26857,5339,195,8107,8865,1834,17,2220,280
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,42073,5479,12033,7963,13209,1798,22,1263,306
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,59920,8891,2360,24539,14974,6261,168,2274,453
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,26244,1320,7275,5085,9578,325,0,2536,125
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,86129,19401,11038,17372,31298,3264,17,3031,708
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,57229,6143,7483,16870,21611,1668,32,2641,781
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018003,Tatkon,51747,9394,639,18418,7941,6904,93,7288,1070
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018001,Zay Yar Thi Ri,26075,15900,78,5597,706,3260,16,373,145
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018008,Oke Ta Ra Thi Ri,18661,5568,117,7456,545,3586,16,1217,156
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018005,Poke Ba Thi Ri,27616,13249,102,8483,1125,3809,34,609,205
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018006,Pyinmana,39663,25992,84,8446,2025,1431,287,892,506
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018007,Lewe,65174,15882,665,27777,6444,7839,104,4753,1710
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018002,Za Bu Thi Ri,26320,23932,12,1975,287,37,1,34,42
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018004,Det Khi Na Thi Ri,6997,1761,48,3549,318,1022,3,173,123
