pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,trans_t,trans_car,trans_mcyc,trans_bicyc,trans_4wheel,trans_canoe,trans_mboat,trans_cart
MMR222,Shan,MMR016D002,Monghsat,MMR016007,Mongping,13299,190,7557,782,171,29,21,3242
MMR222,Shan,MMR016D002,Monghsat,MMR016008,Mongton,12521,511,6433,1222,429,16,8,1066
MMR222,Shan,MMR016D003,Tachileik,MMR016009,Tachileik,37673,3973,27883,14212,1292,24,91,1332
MMR222,Shan,MMR016D004,Monghpyak,MMR016010,Monghpyak,6165,122,4513,1401,448,1,1,388
MMR222,Shan,MMR016D004,Monghpyak,MMR016011,Mongyawng,17196,684,14358,2229,4600,32,59,1280
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,42966,252,7475,14848,1137,6346,2337,5964
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,41402,157,8573,20569,2059,3227,414,5588
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,59488,255,13064,35180,2677,2228,711,10366
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,76652,328,11434,11827,981,8348,7739,11094
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,85687,1810,28752,37300,796,4768,3251,8628
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,50715,580,12189,25194,2192,6130,1423,12821
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017003,Thabaung,37237,103,5131,6826,374,13942,2596,8067
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,43748,127,3835,9935,625,12324,6272,1136
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,48610,143,4155,9029,1204,7446,8054,3811
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,69416,408,9542,14296,1285,10252,6790,4445
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,75987,399,4868,14409,1927,15207,9796,6453
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,51201,353,12234,22737,2114,8726,2890,5335
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,44797,188,10017,24495,1824,5506,1504,9424
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,60277,510,12985,31676,2951,14623,3464,5990
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017019,Maubin,71804,464,13201,27013,1871,14869,6164,5218
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017014,Myaungmya,66172,360,11451,21520,1088,8595,4728,5450
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,67448,123,6966,20807,1347,13410,6717,7624
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,46455,229,7635,17325,1955,7105,2055,5271
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017018,Mawlamyinegyun,74886,124,5039,16053,761,17279,11112,8852
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,75583,189,5151,11949,792,16127,8732,9856
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,26857,357,10658,16167,457,490,183,10261
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,42073,162,9540,21489,1552,3953,1067,8975
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,59920,321,18908,38410,682,1396,459,19204
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,26244,74,5887,11795,729,2428,255,8855
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,86129,809,23851,52931,2671,4150,1015,18427
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,57229,240,14306,32611,784,2771,378,20539
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018003,Tatkon,51747,655,20208,19180,272,178,16,21065
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018001,Zay Yar Thi Ri,26075,1115,13523,8439,210,37,17,2744
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018008,Oke Ta Ra Thi Ri,18661,535,7524,3105,78,170,12,4447
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018005,Poke Ba Thi Ri,27616,1079,12193,9240,140,6,6,3393
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018006,Pyinmana,39663,1944,19474,18888,287,79,21,3311
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018007,Lewe,65174,792,21545,21643,605,227,44,19016
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018002,Za Bu Thi Ri,26320,2136,12608,6778,78,7,15,187
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018004,Det Khi Na Thi Ri,6997,152,2831,2509,74,4,11,1301
