,Region,Poor,Non_Poor
0,kachin,27.9,24.0
1,kayah,23.2,17.8
2,kayin,24.5,21.5
3,chin,13.6,16.4
4,sagaing,22.3,21.2
5,tanintharyi,24.5,20.5
6,bago,19.9,21.8
7,-bago(e),24.7,26.7
8,-bago(w),14.0,16.8
9,magwe,20.1,21.8
10,mandalay,18.3,23.7
11,mon,19.6,16.1
12,rakhine,18.8,20.9
13,yangon,19.0,26.1
14,shan,13.0,19.2
15,-shan(s),7.1,16.4
16,-shan(n),17.3,24.0
17,-shan(e),10.6,13.8
18,ayeyarwaddy,16.4,17.1
