,Region,Poor,Non_Poor
0,kachin,6.7,5.5
1,kayah,7.1,5.1
2,kayin,7.1,5.4
3,chin,6.7,4.8
4,sagaing,6.2,5.1
5,tanintharyi,6.6,5.4
6,bago,5.6,4.4
7,-bago(e),6.2,4.7
8,-bago(w),4.8,4.1
9,magwe,5.6,4.5
10,mandalay,6.0,4.7
11,mon,6.1,5.0
12,rakhine,6.9,5.2
13,yangon,5.9,4.5
14,shan,6.2,4.9
15,-shan(s),6.8,4.9
16,-shan(n),5.7,5.0
17,-shan(e),6.7,5.1
18,ayeyarwaddy,5.5,4.4
