,Region,Poor,Non_Poor
0,kachin,4.2,6.9
1,kayah,4.7,5.0
2,kayin,3.7,4.9
3,chin,1.7,1.8
4,sagaing,5.6,8.0
5,tanintharyi,5.7,8.4
6,bago,4.9,7.9
7,bago(e),5.1,9.6
8,bago(w),4.5,6.5
9,magwe,3.7,5.8
10,mandalay,4.4,6.5
11,mon,5.6,8.7
12,rakhine,4.2,4.6
13,yangon,5.7,10.1
14,shan,3.7,4.4
15,shan(s),4.0,4.0
16,shan(n),3.7,5.2
17,shan(e),3.2,3.0
18,ayeyarwaddy,5.5,10.3
