Longitude,Latitude,Ward/VillageTract,total_population,male_population,female_population,Township
94.669334,20.363335,AhLelPaing(W),1043,451,592,Pwintbyu Township
94.669334,20.363335,AhNaukPaing(W),1119,505,614,Pwintbyu Township
94.669334,20.363335,ThetTawShey(W),2393,1116,1277,Pwintbyu Township
94.467667,20.075375,MyoMa(W),1644,729,915,Ngape Township
94.467667,20.075375,KyaungTwin(W),2421,1155,1266,Ngape Township
94.659363,20.5772,PaungPinZin(W),1722,776,946,Salin Township
94.659363,20.5772,ZayMa(W),1685,771,914,Salin Township
94.659363,20.5772,PaungNar(W),2987,1424,1563,Salin Township
94.659363,20.5772,KyaungKyar(W),1237,558,679,Salin Township
94.659363,20.5772,PuHtoeHpyu(W),1295,571,724,Salin Township
94.659363,20.5772,MyinTin(W),3232,1471,1761,Salin Township
94.875183,20.171606,No(1)(W),1965,874,1091,Minbu Township
94.768311,20.226088,No(1)(W),1965,874,1091,Minbu Township
94.69162,20.6637,No(1)(W),1965,874,1091,Salin Township
94.24559,20.4466,No(1)(W),1965,874,1091,Sidoktaya Township
94.875183,20.171606,No(2)(W),4549,2348,2201,Minbu Township
94.768311,20.226088,No(2)(W),4549,2348,2201,Minbu Township
94.69162,20.6637,No(2)(W),4549,2348,2201,Salin Township
94.24559,20.4466,No(2)(W),4549,2348,2201,Sidoktaya Township
94.731941,19.346293,No(1)(W),531,228,303,Mindon Township
95.09594,19.028971,No(1)(W),531,228,303,Kamma Township
95.166204,19.727261,No(1)(W),531,228,303,Sinbaungwe Township
94.731941,19.346293,No(1)(W),1571,762,809,Mindon Township
95.09594,19.028971,No(1)(W),1571,762,809,Kamma Township
95.166204,19.727261,No(1)(W),1571,762,809,Sinbaungwe Township
94.731941,19.346293,No(1)(W),1323,603,720,Mindon Township
95.09594,19.028971,No(1)(W),1323,603,720,Kamma Township
95.166204,19.727261,No(1)(W),1323,603,720,Sinbaungwe Township
94.731941,19.346293,No(2)(W),1030,471,559,Mindon Township
95.09594,19.028971,No(2)(W),1030,471,559,Kamma Township
95.166204,19.727261,No(2)(W),1030,471,559,Sinbaungwe Township
94.731941,19.346293,No(2)(W),1438,663,775,Mindon Township
95.09594,19.028971,No(2)(W),1438,663,775,Kamma Township
95.166204,19.727261,No(2)(W),1438,663,775,Sinbaungwe Township
94.731941,19.346293,No(2)(W),1367,624,743,Mindon Township
95.09594,19.028971,No(2)(W),1367,624,743,Kamma Township
95.166204,19.727261,No(2)(W),1367,624,743,Sinbaungwe Township
94.731941,19.346293,No(3)(W),1173,536,637,Mindon Township
95.09594,19.028971,No(3)(W),1173,536,637,Kamma Township
95.166204,19.727261,No(3)(W),1173,536,637,Sinbaungwe Township
94.731941,19.346293,No(3)(W),794,366,428,Mindon Township
95.09594,19.028971,No(3)(W),794,366,428,Kamma Township
95.166204,19.727261,No(3)(W),794,366,428,Sinbaungwe Township
94.731941,19.346293,No(3)(W),2399,1127,1272,Mindon Township
95.09594,19.028971,No(3)(W),2399,1127,1272,Kamma Township
95.166204,19.727261,No(3)(W),2399,1127,1272,Sinbaungwe Township
94.731941,19.346293,No(4)(W),1860,877,983,Mindon Township
95.09594,19.028971,No(4)(W),1860,877,983,Kamma Township
94.731941,19.346293,No(4)(W),1399,626,773,Mindon Township
95.09594,19.028971,No(4)(W),1399,626,773,Kamma Township
95.216843,19.358553,MaGyiKone(W),4766,2269,2497,Aunglan Township
