Longitude,Latitude,Ward/VillageTract,total_population,male_population,female_population,Township
93.858856,19.08769,No(1)(W),1620,733,887,Ramree Township
93.858856,19.08769,No(2)(W),1357,616,741,Ramree Township
93.858856,19.08769,No(3)(W),2195,1004,1191,Ramree Township
93.858856,19.08769,No(4)(W),2160,958,1202,Ramree Township
93.858856,19.08769,No(5)(W),1609,752,857,Ramree Township
93.858856,19.08769,No(6)(W),933,430,503,Ramree Township
94.047913,19.795368,MyaukPaing(W),641,284,357,Ann Township
94.360773,18.460999,No(1)(W),2004,917,1087,Thandwe Township
94.138451,19.342344,No(1)(W),2004,917,1087,Toungup Township
94.491409,18.00712,No(1)(W),2004,917,1087,Gwa Township
